id;code;description;unit;fractioned;barcode;internal_barcode;supplier_code;model;part_number;brand_code;inventory_enabled;inventory_minimum;inventory_maximum;inventory_negative;cost;cost_based;utility;utility2;utility3;price;price2;price3;sell_price;sell_price2;sell_price3;ask_price;pred_discount;max_sale_discount;on_sale;is_active;consignment;generic;image;observations;department;subdepartment;use_taxes;taxes;tax_code;use_taxes2;taxes2;tax_code2;use_taxes3;taxes3;tax_code3;created;updated
bbcd87f0-c4fb-4731-80d9-b05fe77e5124;70139;MEMBRANA MICR SAMSUNG AM 610W (DE34-00245S);und;0;;;DE34-00245S;?;;;1.00;1.00;3.00;0.00;3621.50;;45.00;45.00;;5752.21;5752.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
0c3233f0-96ab-4eb7-b95d-79afc192b0be;70140;TARJETA HORNO MICR SAMSUNG (RAS-3M3L-100) ( DE41-00342A);UND;0;;;RAS-SM3L-100 / DE41-00342A;?;;;1.00;1.00;2.00;0.00;17000.00;;45.00;45.00;;24778.76;24778.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
57ddfb7a-be08-4785-9f36-e82dd7db880e;70141;TARJETA HORNO MICR SAMSUNG MW-1050;Unidad;0;;;RAS-D2LED-1;?;;;1.00;0.00;1000.00;0.00;19975.00;;45.00;45.00;;25619.47;25619.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
0a0c8e54-df2c-42ca-8667-31a8fe1abdd7;70142;MEMBRANA MICR SAMSUNG MOD AMW-784 (DE34-00193P);UND;0;;;DE34-00193P;?;;;1.00;2.00;6.00;0.00;4283.03;;45.00;45.00;;6637.17;6637.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
bf59e6ad-351b-4cf4-b32e-48739ebd6ee4;70143;BATERIA RECARGABLE AA (PAR);PAR;0;;;;?;;;1.00;1.00;4.00;0.00;2746131.00;;40.35;45.00;;3982.30;3982.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
4948c47c-1751-486f-9b08-535d579c58d1;70144;BATERIA TELEF PANASONIC (I020);UND;0;;;I020;?;;;1.00;1.00;4.00;0.00;1800.00;;45.00;45.00;;2566.37;2566.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
68e1b24b-736d-4db1-9635-6134f8552e76;70145;CARGADOR BATERIAS SONY (I019);UND;0;;;I019;?;;;1.00;1.00;4.00;0.00;4465.00;;45.00;45.00;;6460.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
dbbb459f-2f08-45ed-870d-587ef56b71c5;70146;TAPA INTERNA SECADO TRASNP WT11J7;UND;0;;;DE61-104226;?;;;1.00;1.00;3.00;0.00;1105.00;;45.00;45.00;;3097.35;3097.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
a19e2a73-ff1c-4685-8af8-bedcdf0514cd;70147;POLEA LAV SAMSUNG PARA EJE;UND;0;;;LNP03;?;;;1.00;1.00;2.00;0.00;1080.00;;45.00;45.00;;1725.66;1725.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
678b225f-8d70-4267-b4e3-8a2468bf36eb;70148;MOTOR LAV. SAMSUNG 13S2 (DC31-10173S);UND;0;;;DC31-10173S;?;;;1.00;1.00;3.00;0.00;44091.00;;45.00;45.00;;62389.38;62389.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
1da0a946-056d-4b53-b725-055e22710e3a;70149;FILTRO QUITA PELUSA SAMSUNG WT-11J7 / SWT90CT;UND;0;;;DC91-1125OB;WT-11J7 / SWT90CT;;;1.00;2.00;6.00;0.00;1275.00;;45.00;45.00;;2212.39;2212.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
df6f0ca2-cc55-4382-b10a-15406419ed90;70150;CARGADOR BATERIAS AA/AAA (I127);UND;0;;;I127;?;;;1.00;1.00;3.00;0.00;1716.00;;45.00;45.00;;2610.62;2610.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
d875003f-c455-416f-9ddc-a07f201fd7d5;70151;SELENOIDE LAV (VALVULA) SAMSUNG WA17R3 (DC62-00024B);UND;0;;;DC62-00024B;?;;;1.00;1.00;2.00;0.00;14375.22;;45.00;45.00;;21681.42;21681.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
548deb0b-eda1-4a48-be2f-f053c2f21ad1;70152;PERILLA LAV SAMSUNG 13J7 ORG (BLANCA-PLATA);UND;0;;;(DC97-10806H/G); 13J7 OR;;;1.00;2.00;6.00;0.00;1811.00;;45.00;45.00;;2610.62;2610.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
16374e89-1e72-4f63-b29f-c286c4ea7380;70153;PLATO MICR SAMSUNG MOD ME4190W;UND;0;;;;?;;;1.00;1.00;3.00;0.00;4350.00;;45.00;45.00;;8407.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
d9148d95-84d8-45f4-8406-f5d446ddc59d;70154;FILTRO QUITA PELUSA SAMSUNG PEQ C# VD 83;UND;0;;;3040751;?;;;1.00;2.00;6.00;0.00;1700.00;;45.00;45.00;;2433.63;2433.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
