id;code;name;province_code;canton_code;district_code
201;6;Itabas;1;2;1
202;7;Jaboncillo;1;2;1
203;8;Profesores (parte).;1;2;1
204;1;Avellana;1;2;2
205;2;Bebedero;1;2;2
206;3;Belo Horizonte (parte);1;2;2
207;4;Carrizal (parte);1;2;2
208;5;Curío;1;2;2
209;6;Chirca;1;2;2
210;7;Chiverral;1;2;2
211;8;Entierrillo;1;2;2
212;9;Filtros;1;2;2
213;10;Guayabos;1;2;2
214;11;Hojablanca;1;2;2
215;12;Juan Santana;1;2;2
216;13;Lajas;1;2;2
217;14;Masilla;1;2;2
218;15;Muta;1;2;2
219;16;Pedrero;1;2;2
220;17;Perú;1;2;2
221;18;Profesores (parte);1;2;2
222;19;Sabanillas;1;2;2
223;20;Salitrillos;1;2;2
224;21;Santa Eduvigis;1;2;2
225;22;Santa Teresa;1;2;2
226;23;Tejarcillos;1;2;2
227;24;Torrotillo;1;2;2
228;25;Vista de Oro.;1;2;2
229;1;Anonos;1;2;3
230;2;Ayala;1;2;3
231;3;Bajo Anonos;1;2;3
232;4;Bajo Palomas;1;2;3
233;5;Belo Horizonte (parte);1;2;3
234;6;Betina;1;2;3
235;7;Ceiba;1;2;3
236;8;Facio Castro;1;2;3
237;9;Guachipelín;1;2;3
238;10;Herrera;1;2;3
239;11;Laureles;1;2;3
240;12;León;1;2;3
241;13;Loma Real;1;2;3
242;14;Matapalo;1;2;3
243;15;Maynard;1;2;3
244;16;Mirador;1;2;3
245;17;Miravalles;1;2;3
246;18;Palermo;1;2;3
247;19;Palma de Mallorca;1;2;3
248;20;Pinar;1;2;3
249;21;Primavera;1;2;3
250;22;Quesada;1;2;3
251;23;Real de Pereira (parte);1;2;3
252;24;Santa Marta;1;2;3
253;25;Tena;1;2;3
254;26;Trejos Montealegre;1;2;3
255;27;Vista Alegre.;1;2;3
256;1;Altamira;1;3;1
257;2;Bellavista;1;3;1
258;3;Calle Fallas;1;3;1
259;4;Camaquirí;1;3;1
260;5;Capilla;1;3;1
261;6;Centro de Amigos;1;3;1
262;7;Cerámica;1;3;1
263;8;Colonia del Sur;1;3;1
264;9;Contadores;1;3;1
265;10;Cruce;1;3;1
266;11;Cucubres;1;3;1
267;12;Dorados;1;3;1
268;13;Florita;1;3;1
269;14;Fortuna;1;3;1
270;15;Jardín;1;3;1
271;16;Loto;1;3;1
272;17;Metrópoli;1;3;1
273;18;Monseñor Sanabria;1;3;1
274;19;Monteclaro;1;3;1
275;20;Palogrande;1;3;1
276;21;Pinos;1;3;1
277;22;Retoños;1;3;1
278;23;Río Jorco;1;3;1
279;24;Sabara;1;3;1
280;25;San Esteban Rey;1;3;1
281;26;San Jerónimo;1;3;1
282;27;San José;1;3;1
283;28;San Roque;1;3;1
